시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,무료이용시간,연체료부과단위시간,연체료,제어방식구분코드,사용방법설명,택배함종류코드,칸개수,칸깊이,칸너비,칸높이,설치일자,고객센터전화번호,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명,
수성1가 삼승교회 주차장,대구광역시,수성구,27290,대구광역시 수성구 수성로 269,,35.849594,128.6125995,00:00,23:59,00:00,23:59,00:00,23:59,0,48,1000,2,"물품배송시 휴대폰 문자로 전송되는 택배보관함 번호, 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+중소형/03+소형/04,01/01+02/04+03/03+04/12,01/50+02/50+03/50+04/50,01/52+02/44+03/52+04/44,01/44+02/35+03/22+04/17,2019-04-15,1599-2740,수성구청 안전총괄과,053-666-2964,2019-11-21,6270000,대구광역시,
장기동주민센터,대구광역시,달서구,27290,대구광역시 달서구 장기로 277,,35.8433981,128.5299636,00:00,23:59,00:00,23:59,00:00,23:59,0,48,1000,2,"물품배송시 휴대폰 문자로 전송되는 택배보관함 번호, 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+중소형/03+소형/04,01/01+02/04+03/03+04/12,01/50+02/50+03/50+04/50,01/52+02/44+03/52+04/44,01/44+02/35+03/22+04/17,2015-06-20,1599-2740,달서구청 도시안전과,053-667-2894,2019-11-21,6270000,대구광역시,
상인2동주민센터,대구광역시,달서구,27290,대구광역시 달서구 상원로 27,,35.8125611,128.5362895,00:00,23:59,00:00,23:59,00:00,23:59,0,48,1000,2,"물품배송시 휴대폰 문자로 전송되는 택배보관함 번호, 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+중소형/03+소형/04,01/01+02/03+03/12+04/03,01/50+02/50+03/50+04/50,01/52+02/44+03/52+04/44,01/44+02/35+03/22+04/17,2015-06-20,1599-2740,달서구청 도시안전과,053-667-2894,2019-11-21,6270000,대구광역시,
달서구건강가정지원센터,대구광역시,달서구,27290,대구광역시 달서구 성당로 17,,35.8391647,128.5581943,00:00,23:59,00:00,23:59,00:00,23:59,0,48,1000,2,"물품배송시 휴대폰 문자로 전송되는 택배보관함 번호, 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+중소형/03+소형/04,01/01+02/04+03/03+04/12,01/50+02/50+03/50+04/50,01/52+02/44+03/52+04/44,01/44+02/35+03/22+04/17,2015-06-20,1599-2740,달서구청 도시안전과,053-667-2894,2019-11-21,6270000,대구광역시,
감삼동 행정복지센터,대구광역시,달서구,27290,대구광역시 달서구 감삼북길 119-10,,35.8510218,128.5421776,00:00,23:59,00:00,23:59,00:00,23:59,0,48,1000,2,"물품배송시 휴대폰 문자로 전송되는 택배보관함 번호, 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+중소형/03+소형/04,01/01+02/03+03/12+04/03,01/50+02/50+03/50+04/50,01/52+02/44+03/52+04/44,01/44+02/35+03/22+04/17,2017-12-18,1599-2740,달서구청 도시안전과,053-667-2894,2019-11-21,6270000,대구광역시,
용산1동 행정복지센터,대구광역시,달서구,27290,대구광역시 달서구 용산로 212-7,,35.8566419,128.5312386,00:00,23:59,00:00,23:59,00:00,23:59,0,48,1000,2,"물품배송시 휴대폰 문자로 전송되는 택배보관함 번호, 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+중소형/03+소형/04,01/01+02/04+03/03+04/12,01/50+02/50+03/50+04/50,01/52+02/44+03/52+04/44,01/44+02/35+03/22+04/17,2017-12-18,1599-2740,달서구청 도시안전과,053-667-2894,2019-11-21,6270000,대구광역시,
호산경로당,대구광역시,달서구,27290,대구광역시 달서구 달구벌대로 203길 3(노상),,35.8535604,128.4779793,00:00,23:59,00:00,23:59,00:00,23:59,0,48,1000,2,"물품배송시 휴대폰 문자로 전송되는 택배보관함 번호, 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",중형02+소형044,02/03+04/08,02/60+04/60,02/45+04/23,02/50+04/50,2017-12-18,1600-5136,달서구청 도시안전과,053-667-2894,2019-11-21,6270000,대구광역시,
계명대학교 정문 맞은편,대구광역시,달서구,27290,대구광역시 달서구 호산동로 188(노상),,35.85206004,128.4859446,00:00,23:59,00:00,23:59,00:00,23:59,0,48,1000,2,"물품배송시 휴대폰 문자로 전송되는 택배보관함 번호, 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",중형02+소형044,02/03+04/08,02/60+04/60,02/45+04/23,02/50+04/50,2017-12-18,1600-5136,달서구청 도시안전과,053-667-2894,2019-11-21,6270000,대구광역시,
계명대역 5번 출구,대구광역시,달서구,27290,대구광역시 달서구 달구벌대로 1147(노상),,35.85179003,128.4928954,00:00,23:59,00:00,23:59,00:00,23:59,0,48,1000,2,"물품배송시 휴대폰 문자로 전송되는 택배보관함 번호, 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",중형02+소형044,02/03+04/08,02/60+04/60,02/45+04/23,02/50+04/50,2017-12-18,1600-5136,달서구청 도시안전과,053-667-2894,2019-11-21,6270000,대구광역시,
돌산공원,대구광역시,달서구,27290,대구광역시 달서구 서당로 9길 40-28 (노상),,35.85741289,128.4935056,00:00,23:59,00:00,23:59,00:00,23:59,0,48,1000,2,"물품배송시 휴대폰 문자로 전송되는 택배보관함 번호, 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",중형02+소형044,02/03+04/08,02/60+04/60,02/45+04/23,02/50+04/50,2017-12-18,1600-5136,달서구청 도시안전과,053-667-2894,2019-11-21,6270000,대구광역시,
계명문화대 맞은편,대구광역시,달서구,27290,대구광역시 달서구 달서대로 664(노상),,35.85874973,128.4923838,00:00,23:59,00:00,23:59,00:00,23:59,0,48,1000,2,"물품배송시 휴대폰 문자로 전송되는 택배보관함 번호, 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",중형02+소형044,02/03+04/08,02/60+04/60,02/45+04/23,02/50+04/50,2017-12-18,1600-5136,달서구청 도시안전과,053-667-2894,2019-11-21,6270000,대구광역시,
하나로클럽달성점,대구광역시,달성군,27710,대구광역시 달성군 화원읍 성천로9,,35.79929061,128.4871518,00:00,23:59,00:00,23:59,00:00,23:59,0,48,1000,2,"물품배송시 휴대폰 문자로 전송되는 택배보관함 번호, 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+중소형/03+소형/04,01/01+02/03+03/12+04/03,01/50+02/50+03/50+04/50,01/52+02/44+03/52+04/44,01/44+02/35+03/22+04/17,2015-06-20,1599-2740,달성군 안전방재과,053-668-2894,2019-11-21,6270000,대구광역시,
유가면사무소,대구광역시,달성군,27710,대구광역시 달성군 유가읍 테크노상업로 95,,35.6938763,128.4598183,00:00,23:59,00:00,23:59,00:00,23:59,0,48,1000,2,"물품배송시 휴대폰 문자로 전송되는 택배보관함 번호, 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+중소형/03+소형/04,01/01+02/03+03/12+04/03,01/50+02/50+03/50+04/50,01/52+02/44+03/52+04/44,01/44+02/35+03/22+04/17,2015-06-20,1599-2740,달성군 안전방재과,053-668-2894,2019-11-21,6270000,대구광역시,
가창면사무소,대구광역시,달성군,27710,대구광역시 달성군 가창면 가창로 1100,,35.8027083912,128.6228326135,00:00,23:59,00:00,23:59,00:00,23:59,0,48,1000,2,"물품배송시 휴대폰 문자로 전송되는 택배보관함 번호, 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+중소형/03+소형/04,01/01+02/04+03/03+04/12,01/50+02/50+03/50+04/50,01/52+02/44+03/52+04/44,01/44+02/35+03/22+04/17,2015-06-20,1599-2740,달성군 안전방재과,053-668-2894,2019-11-21,6270000,대구광역시,
본오도서관,경기도,상록구,41271,경기도 안산시 상록구 각골로 49(본오동),경기도 안산시 상록구 본오동 778,37.2939960384,126.8722918795,00:00,23:59,00:00,23:59,00:00,23:59,48,24,500,1,택배 주문 시 무인택배함 설치주소로 물품수령장소 지정-택배업체에서 무인택배함에 물품 보관 후 수취인 연락처 입력후 물품보관-수취인에게 택배도착 문자 및 인증번호 전송-수ㅇ취인 인증 후 물품 수령,대형/01+중형/02+중소형/03+소형/04,01/1+02/12+03/1+01/6,01/60+01/60+03/60+04/60,01/50+02/50+03/50+04/50,01/90+02/30+03/60+04/20,2017-04-19,1666-2098,여성가족과,031-481-2209,2019-10-25,3930000,경기도 안산시,
와동종합사회복지관,경기도,단원구,41273,경기도 안산시 단원구 와동로 118(와동),경기도 안산시 단원구 와동 111-4,37.340598,126.827257,00:00,23:59,00:00,23:59,00:00,23:59,48,24,500,1,택배 주문 시 무인택배함 설치주소로 물품수령장소 지정-택배업체에서 무인택배함에 물품 보관 후 수취인 연락처 입력후 물품보관-수취인에게 택배도착 문자 및 인증번호 전송-수ㅇ취인 인증 후 물품 수령,대형/01+중형/02+중소형/03+소형/04,01/1+02/12+03/1+01/6,01/60+01/60+03/60+04/60,01/50+02/50+03/50+04/50,01/90+02/30+03/60+04/20,2017-04-19,1666-2098,여성가족과,031-481-2209,2019-10-25,3930000,경기도 안산시,
선부2동 행정복지센터,경기도,단원구,41273,경기도 안산시 단원구 지곡로 46(선부동),경기도 안산시 단원구 선부동 997-2,37.3383614202,126.8029199005,00:00,23:59,00:00,23:59,00:00,23:59,48,24,500,1,택배 주문 시 무인택배함 설치주소로 물품수령장소 지정-택배업체에서 무인택배함에 물품 보관 후 수취인 연락처 입력후 물품보관-수취인에게 택배도착 문자 및 인증번호 전송-수ㅇ취인 인증 후 물품 수령,대형/01+중형/02+중소형/03+소형/04,01/1+02/12+03/1+01/6,01/60+01/60+03/60+04/60,01/50+02/50+03/50+04/50,01/90+02/30+03/60+04/20,2017-04-19,1666-2098,여성가족과,031-481-2209,2019-10-25,3930000,경기도 안산시,
부곡종합사회복지관,경기도,상록구,41271,경기도 안산시 상록구 성호로303(부곡동,경기도 안산시 상록구 부곡동 711,37.330206,126.859043,00:00,23:59,00:00,23:59,00:00,23:59,48,24,500,1,택배 주문 시 무인택배함 설치주소로 물품수령장소 지정-택배업체에서 무인택배함에 물품 보관 후 수취인 연락처 입력후 물품보관-수취인에게 택배도착 문자 및 인증번호 전송-수ㅇ취인 인증 후 물품 수령,대형/01+중형/02+중소형/03+소형/04,01/1+02/12+03/1+01/6,01/60+01/60+03/60+04/60,01/50+02/50+03/50+04/50,01/90+02/30+03/60+04/20,2018-05-01,1666-2098,여성가족과,031-481-2209,2019-10-25,3930000,경기도 안산시,
반월동행정복지센터,경기도,상록구,41271,경기도 안산시 상록구 건건로 51(건건동),경기도 안산시 상록구 건건동 641-2,37.306052,126.902168,00:00,23:59,00:00,23:59,00:00,23:59,48,24,500,1,택배 주문 시 무인택배함 설치주소로 물품수령장소 지정-택배업체에서 무인택배함에 물품 보관 후 수취인 연락처 입력후 물품보관-수취인에게 택배도착 문자 및 인증번호 전송-수ㅇ취인 인증 후 물품 수령,대형/01+중형/02+중소형/03+소형/04,01/1+02/12+03/1+01/6,01/60+01/60+03/60+04/60,01/50+02/50+03/50+04/50,01/90+02/30+03/60+04/20,2018-05-01,1666-2098,여성가족과,031-481-2209,2019-10-25,3930000,경기도 안산시,
해양동주민자치센터,경기도,상록구,41271,경기도 안산시 상록구 한양대학로 31(사동),경기도 안산시 상록구 사동 1171,37.3009060747,126.840381,00:00,23:59,00:00,23:59,00:00,23:59,48,24,500,1,택배 주문 시 무인택배함 설치주소로 물품수령장소 지정-택배업체에서 무인택배함에 물품 보관 후 수취인 연락처 입력후 물품보관-수취인에게 택배도착 문자 및 인증번호 전송-수ㅇ취인 인증 후 물품 수령,대형/01+중형/02+중소형/03+소형/04,01/1+02/12+03/1+01/6,01/60+01/60+03/60+04/60,01/50+02/50+03/50+04/50,01/90+02/30+03/60+04/20,2018-05-01,1666-2098,여성가족과,031-481-2209,2019-10-25,3930000,경기도 안산시,
이동행정복지센터,경기도,상록구,41271,경기도 안산시 상록구 이동로 46(이동),경기도 안산시 상록구 이동 578-12,37.305422,126.860827,00:00,23:59,00:00,23:59,00:00,23:59,48,24,500,1,택배 주문 시 무인택배함 설치주소로 물품수령장소 지정-택배업체에서 무인택배함에 물품 보관 후 수취인 연락처 입력후 물품보관-수취인에게 택배도착 문자 및 인증번호 전송-수ㅇ취인 인증 후 물품 수령,대형/01+중형/02+중소형/03+소형/04,01/1+02/12+03/1+01/6,01/60+01/60+03/60+04/60,01/50+02/50+03/50+04/50,01/90+02/30+03/60+04/20,2018-05-01,1666-2098,여성가족과,031-481-2209,2019-10-25,3930000,경기도 안산시,
선부석수경로당,경기도,단원구,41273,경기도 안산시 단원구 북촌2길 17 (선부동),경기도 안산시 단원구 선부동 1025,37.343308,126.805007,00:00,23:59,00:00,23:59,00:00,23:59,48,24,500,1,택배 주문 시 무인택배함 설치주소로 물품수령장소 지정-택배업체에서 무인택배함에 물품 보관 후 수취인 연락처 입력후 물품보관-수취인에게 택배도착 문자 및 인증번호 전송-수ㅇ취인 인증 후 물품 수령,대형/01+중형/02+중소형/03+소형/04,01/1+02/12+03/1+01/6,01/60+01/60+03/60+04/60,01/50+02/50+03/50+04/50,01/90+02/30+03/60+04/20,2019-10-23,1577-1545,여성가족과,031-481-2209,2019-10-25,3930000,경기도 안산시,
다문화안전경찰센터,경기도,단원구,41273,경기도 안산시 단원구 다문화2길 51(원곡동),경기도 안산시 단원구 원곡동 796-11,37.3288100139,126.790045,00:00,23:59,00:00,23:59,00:00,23:59,48,24,500,1,택배 주문 시 무인택배함 설치주소로 물품수령장소 지정-택배업체에서 무인택배함에 물품 보관 후 수취인 연락처 입력후 물품보관-수취인에게 택배도착 문자 및 인증번호 전송-수ㅇ취인 인증 후 물품 수령,대형/01+중형/02+중소형/03+소형/04,01/1+02/12+03/1+01/6,01/60+01/60+03/60+04/60,01/50+02/50+03/50+04/50,01/90+02/30+03/60+04/20,2019-10-23,1577-1545,여성가족과,031-481-2209,2019-10-25,3930000,경기도 안산시,
한국호텔관광전문학교,경기도,단원구,41273,경기도 안산시 단원구 중앙대로 945(고잔동),경기도 안산시 단원구 고잔동 542-1,37.3171410212,126.8417881710,00:00,23:59,00:00,23:59,00:00,23:59,48,24,500,1,택배 주문 시 무인택배함 설치주소로 물품수령장소 지정-택배업체에서 무인택배함에 물품 보관 후 수취인 연락처 입력후 물품보관-수취인에게 택배도착 문자 및 인증번호 전송-수ㅇ취인 인증 후 물품 수령,대형/01+중형/02+중소형/03+소형/04,01/1+02/12+03/1+01/6,01/60+01/60+03/60+04/60,01/50+02/50+03/50+04/50,01/90+02/30+03/60+04/20,2019-10-23,1577-1545,여성가족과,031-481-2209,2019-10-25,3930000,경기도 안산시,
회현동주민센터,경상남도,김해시,48250,경상남도 김해시 가락로63번길 33,,35.2315767735,128.8779219791,00:00,23:59,00:00,23:59,00:00,23:59,48,24,1000,01,"택배를 주문하고, 물폼 수령장소를 안심택배보관함으로 지정 - 휴대폰문자 메시지 확인 - 본인 휴대폰번호 및 인증번호 입력 후 물품수령",중형/02+소형/04,02/6+04/12,600,500,02/450+04/225,2018-07-05,1899-4711,회현동주민센터,055-330-3311,2019-09-20,5350000,경상남도 김해시,
활천동행정복지센터,경상남도,김해시,48250,경상남도 김해시 인제로11번길 51,,35.2289057073,128.8998571361,00:00,23:59,00:00,23:59,00:00,23:59,48,24,1000,01,"택배를 주문하고, 물폼 수령장소를 안심택배보관함으로 지정 - 휴대폰문자 메시지 확인 - 본인 휴대폰번호 및 인증번호 입력 후 물품수령",중형/02+소형/04,02/6+04/12,600,500,02/450+04/225,2019-03-29,1899-4711,활천동행정복지센터,055-330-3311,2019-09-20,5350000,경상남도 김해시,
진영읍보건지소,경상남도,김해시,48250,경상남도 김해시 진영읍 김해대로365번길 6-24,,35.3077913931,128.7310896804,00:00,23:59,00:00,23:59,00:00,23:59,48,24,1000,01,"택배를 주문하고, 물폼 수령장소를 안심택배보관함으로 지정 - 휴대폰문자 메시지 확인 - 본인 휴대폰번호 및 인증번호 입력 후 물품수령",중형/02+소형/04,02/6+04/12,600,500,02/450+04/225,2017-06-28,1899-4711,진영읍보건지소,055-330-3311,2019-09-20,5350000,경상남도 김해시,
장유2동주민센터,경상남도,김해시,48250,경상남도 김해시 능동로 43,,35.1971216389,128.7977252292,00:00,23:59,00:00,23:59,00:00,23:59,48,24,1000,01,"택배를 주문하고, 물폼 수령장소를 안심택배보관함으로 지정 - 휴대폰문자 메시지 확인 - 본인 휴대폰번호 및 인증번호 입력 후 물품수령",중형/02+소형/04,02/6+04/12,600,500,02/450+04/225,2018-07-05,1899-4711,장유2동주민센터,055-330-3311,2019-09-20,5350000,경상남도 김해시,
삼안동주민센터,경상남도,김해시,48250,경상남도 김해시 활천로255번길 12,,35.2438783545,128.9075048433,00:00,23:59,00:00,23:59,00:00,23:59,48,24,1000,01,"택배를 주문하고, 물폼 수령장소를 안심택배보관함으로 지정 - 휴대폰문자 메시지 확인 - 본인 휴대폰번호 및 인증번호 입력 후 물품수령",중형/02+소형/04,02/6+04/12,600,500,02/450+04/225,2017-06-29,1899-4711,삼안동주민센터,055-330-3311,2019-09-20,5350000,경상남도 김해시,
북부동주민센터,경상남도,김해시,48250,경상남도 김해시 해반천로 160,,35.2626952828,128.8677533957,00:00,23:59,00:00,23:59,00:00,23:59,48,24,1000,01,"택배를 주문하고, 물폼 수령장소를 안심택배보관함으로 지정 - 휴대폰문자 메시지 확인 - 본인 휴대폰번호 및 인증번호 입력 후 물품수령",중형/02+소형/04,02/6+04/12,600,500,02/450+04/225,2017-06-29,1899-4711,북부동주민센터,055-330-3311,2019-09-20,5350000,경상남도 김해시,
부원동행정복지센터,경상남도,김해시,48250,경상남도 김해시 김해대로2371번길 24-16,,35.2287280519,128.8865592250,00:00,23:59,00:00,23:59,00:00,23:59,48,24,1000,01,"택배를 주문하고, 물폼 수령장소를 안심택배보관함으로 지정 - 휴대폰문자 메시지 확인 - 본인 휴대폰번호 및 인증번호 입력 후 물품수령",중형/02+소형/04,02/6+04/12,600,500,02/450+04/225,2019-03-29,1899-4711,부원동행정복지센터,055-330-3311,2019-09-20,5350000,경상남도 김해시,
동상동주민자치센터,경상남도,김해시,48250,경상남도 김해시 분성로335번길 34,,35.2365279268,128.8824429251,00:00,23:59,00:00,23:59,00:00,23:59,48,24,1000,01,"택배를 주문하고, 물폼 수령장소를 안심택배보관함으로 지정 - 휴대폰문자 메시지 확인 - 본인 휴대폰번호 및 인증번호 입력 후 물품수령",중형/02+소형/04,02/6+04/12,600,500,02/450+04/225,2017-06-02,1899-4711,동상동주민자치센터,055-330-3311,2019-09-20,5350000,경상남도 김해시,
내외문화의집,경상남도,김해시,48250,경상남도 김해시 금관대로 1255,,35.2375170033,128.8578655940,00:00,23:59,00:00,23:59,00:00,23:59,48,24,1000,01,"택배를 주문하고, 물폼 수령장소를 안심택배보관함으로 지정 - 휴대폰문자 메시지 확인 - 본인 휴대폰번호 및 인증번호 입력 후 물품수령",중형/02+소형/04,02/6+04/12,600,500,02/450+04/225,2018-07-05,1899-4711,내외문화의집,055-330-3311,2019-09-20,5350000,경상남도 김해시,
염전골 마을센터(주안5동 마을회관),인천광역시,미추홀구,35105,인천광역시 미추홀구 길파로41번길 3 (주안동),인천광역시 미추홀구 주안동 8-7,37.4693535,126.6794679,00:00,23:59,00:00,23:59,00:00,23:59,48,24,0,2,"배송지를 택배함 주소로 지정한 경우, 물품 배송시 휴대폰 문자로 전송되는 택배보관함 번호, 인증번호를 확인하여 해당보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어  물품 수령",대형/01+소형/04,01/8+04/16,01/60+04/60,01/50+04/50,01/45+04/23,2016-06-15,1899-4711,인천광역시 미추홀구 여성가족과,032-880-7374,2019-09-27,3510500,인천광역시 미추홀구,
숭의1·3동 행정복지센터,인천광역시,미추홀구,35105,인천광역시 미추홀구 석정로92번길 21-17 (숭의동),인천광역시 미추홀구 숭의동 85-1,37.4672028,126.6472291,00:00,23:59,00:00,23:59,00:00,23:59,48,24,0,2,"배송지를 택배함 주소로 지정한 경우, 물품 배송시 휴대폰 문자로 전송되는 택배보관함 번호, 인증번호를 확인하여 해당보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어  물품 수령",대형/01+소형/04,01/6+04/12,01/60+04/60,01/50+04/50,01/45+04/23,2017-06-16,1899-4711,인천광역시 미추홀구 여성가족과,032-880-7374,2019-09-27,3510500,인천광역시 미추홀구,
주안3동 행정복지센터,인천광역시,미추홀구,35105,인천광역시 미추홀구 주승로31번길 28-10 (주안동),인천광역시 미추홀구 주안동 867-9,37.4448289,126.6740306,00:00,23:59,00:00,23:59,00:00,23:59,48,24,0,2,"배송지를 택배함 주소로 지정한 경우, 물품 배송시 휴대폰 문자로 전송되는 택배보관함 번호, 인증번호를 확인하여 해당보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어  물품 수령",대형/01+소형/04,01/6+04/12,01/60+04/60,01/50+04/50,01/45+04/23,2017-06-16,1899-4711,인천광역시 미추홀구 여성가족과,032-880-7374,2019-09-27,3510500,인천광역시 미추홀구,
용현1·4동 행정복지센터,인천광역시,미추홀구,35105,인천광역시 미추홀구 인주대로 198 (용현동),인천광역시 미추홀구 용현동 140-10,37.45480121,126.658576,00:00,23:59,00:00,23:59,00:00,23:59,48,24,0,2,"배송지를 택배함 주소로 지정한 경우, 물품 배송시 휴대폰 문자로 전송되는 택배보관함 번호, 인증번호를 확인하여 해당보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어  물품 수령",대형/01+소형/04,01/6+04/12,01/60+04/60,01/50+04/50,01/45+04/23,2017-06-16,1899-4711,인천광역시 미추홀구 여성가족과,032-880-7374,2019-09-27,3510500,인천광역시 미추홀구,
학익2동 행정복지센터,인천광역시,미추홀구,35105,인천광역시 미추홀구 한나루로 444 (학익동),인천광역시 미추홀구 학익동 4-16,37.4465308,126.6674733,00:00,23:59,00:00,23:59,00:00,23:59,48,24,0,2,"배송지를 택배함 주소로 지정한 경우, 물품 배송시 휴대폰 문자로 전송되는 택배보관함 번호, 인증번호를 확인하여 해당보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어  물품 수령",대형/01+소형/04,01/4+04/8,01/60+04/60,01/50+04/50,01/45+04/23,2018-10-31,1899-4711,인천광역시 미추홀구 여성가족과,032-880-7374,2019-09-27,3510500,인천광역시 미추홀구,
이랑도서관,인천광역시,미추홀구,35105,인천광역시 미추홀구 미추홀대로578번길 7 (주안동),인천광역시 미추홀구 주안동 1465-13,37.44923613,126.6803224,00:00,23:59,00:00,23:59,00:00,23:59,48,24,0,2,"배송지를 택배함 주소로 지정한 경우, 물품 배송시 휴대폰 문자로 전송되는 택배보관함 번호, 인증번호를 확인하여 해당보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어  물품 수령",대형/01+소형/04,01/6+04/12,01/60+04/60,01/50+04/50,01/45+04/23,2019-01-21,1899-4711,인천광역시 미추홀구 여성가족과,032-880-7374,2019-09-27,3510500,인천광역시 미추홀구,
학산소극장,인천광역시,미추홀구,35105,인천광역시 미추홀구 인하로 126(용현동),인천광역시 미추홀구 용현동 81-8,37.44950556,126.6618775,00:00,23:59,00:00,23:59,00:00,23:59,48,24,0,2,"배송지를 택배함 주소로 지정한 경우, 물품 배송시 휴대폰 문자로 전송되는 택배보관함 번호, 인증번호를 확인하여 해당보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어  물품 수령",대형/01+소형/04,01/6+04/12,01/60+04/60,01/50+04/50,01/45+04/23,2019-05-28,1899-4711,인천광역시 미추홀구 여성가족과,032-880-7374,2019-09-27,3510500,인천광역시 미추홀구,
사창동주민센터,충청북도,청주시,43112,충청북도 청주시 서원구 내수동로 108,충청북도 청주시 서원구 사창동 409,36.6335957,127.4588962,09:00,23:00,09:00,23:00,09:00,23:00,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",특대형/01,01월 19일,01/600,01/450,01/90,2016-02-22,1599-2740,하이스트시스템㈜,1599-2740,2019-06-01,6430000,충청북도,
용암1동 주민센터,충청북도,청주시,43111,충청북도 청주시 상당구 중흥로 29,,36.60883847,127.5012816,09:00,23:00,09:00,23:00,09:00,23:00,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",특대형/01,01월 19일,01/600,01/450,01/90,2016-02-22,1599-2740,하이스트시스템㈜,1599-2740,2019-06-01,6430000,충청북도,
청원구청,충청북도,청주시,43114,충청북도 청주시 청원구 직지대로 871,충청북도 청주시 청원구 우암동 354-23,36.6515839,127.4866262,09:00,23:00,09:00,23:00,09:00,23:00,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",특대형/01,01월 19일,01/600,01/450,01/90,2017-04-01,1599-2740,하이스트시스템㈜,1599-2740,2019-06-01,6430000,충청북도,
한국교원대 교육연구관,충청북도,청주시,43113,충청북도 청주시 흥덕구 강내면 태성탑연로 250,충청북도 청주시 흥덕구 강내면 다락리 산7,36.6056660115,127.3573244574,09:00,23:00,09:00,23:00,09:00,23:00,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",특대형/01,01월 19일,01/600,01/450,01/90,2018-09-28,1599-2740,하이스트시스템㈜,1599-2740,2019-06-01,6430000,충청북도,
흥덕구청,충청북도,청주시,43113,충청북도 청주시 흥덕구 대농로 88,,36.64148014,127.4315244,09:00,23:00,09:00,23:00,09:00,23:00,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",특대형/01,01월 19일,01/600,01/450,01/90,2017-04-01,1599-2740,하이스트시스템㈜,1599-2740,2019-06-01,6430000,충청북도,
